,name,rating,genre,year,score,votes,director,writer,star,runtime,decade,gross,budget,company
5985,Winnie the Pooh,G,Animation,2011,7.2,23000.0,Stephen J. Anderson,Stephen J. Anderson,Jim Cummings,63.0,2010s,71.0,43.0,Walt Disney
5987,The Eagle,PG-13,Action,2011,6.2,67000.0,Kevin Macdonald,Jeremy Brock,Channing Tatum,114.0,2010s,54.0,36.0,Focus Features
5988,The Rum Diary,R,Comedy,2011,6.2,100000.0,Bruce Robinson,Bruce Robinson,Johnny Depp,119.0,2010s,43.0,64.0,GK Films
5989,Spy Kids 4-D: All the Time in the World,PG,Animation,2011,3.5,24000.0,Robert Rodriguez,Robert Rodriguez,Jessica Alba,89.0,2010s,122.0,39.0,Dimension Films
5991,Red Riding Hood,PG-13,Fantasy,2011,5.5,109000.0,Catherine Hardwicke,David Leslie Johnson-McGoldrick,Amanda Seyfried,100.0,2010s,129.0,60.0,Warner Brothers
5992,The Roommate,PG-13,Drama,2011,4.8,37000.0,Christian E. Christiansen,Sonny Mallhi,Minka Kelly,91.0,2010s,58.0,23.0,Screen Gems
5994,Monte Carlo,PG,Adventure,2011,5.8,42000.0,Thomas Bezucha,Thomas Bezucha,Selena Gomez,109.0,2010s,57.0,29.0,Fox 2000 Pictures
5995,The Rite,PG-13,Drama,2011,6.0,93000.0,Mikael Håfström,Michael Petroni,Colin O'Donoghue,114.0,2010s,138.0,53.0,New Line Cinema
5996,New Year's Eve,PG-13,Comedy,2011,5.7,83000.0,Garry Marshall,Katherine Fugate,Sarah Jessica Parker,118.0,2010s,203.0,80.0,New Line Cinema
6000,Extremely Loud & Incredibly Close,PG-13,Adventure,2011,6.9,99000.0,Stephen Daldry,Eric Roth,Thomas Horn,129.0,2010s,79.0,57.0,Warner Brothers
6001,Alvin and the Chipmunks: Chipwrecked,G,Animation,2011,4.3,33000.0,Mike Mitchell,Jonathan Aibel,Justin Long,87.0,2010s,490.0,107.0,Fox 2000 Pictures
6003,Our Idiot Brother,R,Comedy,2011,6.4,85000.0,Jesse Peretz,Jesse Peretz,Paul Rudd,90.0,2010s,37.0,7.0,Big Beach Films
6006,Sanctum,R,Action,2011,5.9,54000.0,Alister Grierson,John Garvin,Rhys Wakefield,108.0,2010s,155.0,43.0,Universal Pictures
6007,The Big Year,PG,Comedy,2011,6.2,43000.0,David Frankel,Howard Franklin,Owen Wilson,100.0,2010s,12.0,59.0,Fox 2000 Pictures
6009,Straw Dogs,R,Action,2011,5.8,33000.0,Rod Lurie,Rod Lurie,James Marsden,110.0,2010s,16.0,36.0,Screen Gems
6014,30 Minutes or Less,R,Action,2011,6.1,96000.0,Ruben Fleischer,Michael Diliberti,Jesse Eisenberg,83.0,2010s,58.0,40.0,Columbia Pictures
6015,The Iron Lady,PG-13,Biography,2011,6.4,105000.0,Phyllida Lloyd,Abi Morgan,Meryl Streep,105.0,2010s,166.0,19.0,DJ Films
6017,Mr. Popper's Penguins,PG,Comedy,2011,6.0,91000.0,Mark Waters,Sean Anders,Jim Carrey,94.0,2010s,268.0,79.0,Twentieth Century Fox
6022,Courageous,PG-13,Drama,2011,7.0,20000.0,Alex Kendrick,Alex Kendrick,Alex Kendrick,129.0,2010s,50.0,3.0,TriStar Pictures
6024,Apollo 18,PG-13,Horror,2011,5.2,54000.0,Gonzalo López-Gallego,Brian Miller,Warren Christie,86.0,2010s,38.0,7.0,Dimension Films
6026,Hop,PG,Animation,2011,5.4,32000.0,Tim Hill,Cinco Paul,Russell Brand,95.0,2010s,263.0,90.0,Universal Pictures
6027,Atlas Shrugged: Part I,PG-13,Drama,2011,5.6,13000.0,Paul Johansson,Brian Patrick O'Toole,Taylor Schilling,97.0,2010s,7.0,29.0,Atlas Productions
6031,Happy Feet Two,PG,Animation,2011,5.9,43000.0,George Miller,George Miller,Elijah Wood,100.0,2010s,228.0,193.0,Warner Brothers
6037,Rockstar,Not Rated,Drama,2011,7.7,41000.0,Imtiaz Ali,Imtiaz Ali,Ranbir Kapoor,159.0,2010s,16.0,16.0,Eros Worldwide
6038,"Big Mommas: Like Father, Like Son",PG-13,Action,2011,4.4,26000.0,John Whitesell,Matthew Fogel,Martin Lawrence,107.0,2010s,118.0,46.0,New Regency Productions
6041,The Dilemma,PG-13,Comedy,2011,5.3,53000.0,Ron Howard,Allan Loeb,Vince Vaughn,111.0,2010s,100.0,100.0,Universal Pictures
6042,Dolphin Tale,PG,Drama,2011,6.8,23000.0,Charles Martin Smith,Karen Janszen,Morgan Freeman,113.0,2010s,137.0,53.0,Alcon Entertainment
6043,The Avengers,PG-13,Action,2012,8.0,1300000.0,Joss Whedon,Joss Whedon,Robert Downey Jr.,143.0,2010s,2111.0,306.0,Marvel Studios
6044,Django Unchained,R,Drama,2012,8.4,1400000.0,Quentin Tarantino,Quentin Tarantino,Jamie Foxx,165.0,2010s,592.0,139.0,The Weinstein Company
6045,The Hobbit: An Unexpected Journey,PG-13,Adventure,2012,7.8,773000.0,Peter Jackson,Fran Walsh,Martin Freeman,169.0,2010s,1414.0,250.0,Metro-Goldwyn-Mayer (MGM)
6046,The Hunger Games,PG-13,Action,2012,7.2,862000.0,Gary Ross,Gary Ross,Jennifer Lawrence,142.0,2010s,965.0,108.0,Lionsgate
6047,The Dark Knight Rises,PG-13,Action,2012,8.4,1600000.0,Christopher Nolan,Jonathan Nolan,Christian Bale,164.0,2010s,1503.0,348.0,Warner Brothers
6048,Pitch Perfect,PG-13,Comedy,2012,7.1,285000.0,Jason Moore,Kay Cannon,Anna Kendrick,112.0,2010s,160.0,24.0,Brownstone Productions
6049,This Is 40,R,Comedy,2012,6.2,132000.0,Judd Apatow,Judd Apatow,Paul Rudd,134.0,2010s,123.0,49.0,Apatow Productions
6051,Prometheus,R,Adventure,2012,7.0,578000.0,Ridley Scott,Jon Spaihts,Noomi Rapace,124.0,2010s,561.0,181.0,Twentieth Century Fox
6052,Moonrise Kingdom,PG-13,Comedy,2012,7.8,327000.0,Wes Anderson,Wes Anderson,Jared Gilman,94.0,2010s,95.0,22.0,Indian Paintbrush
6053,The Impossible,PG-13,Drama,2012,7.6,208000.0,J.A. Bayona,Sergio G. Sánchez,Naomi Watts,114.0,2010s,275.0,63.0,Mediaset España
6054,Argo,R,Biography,2012,7.7,585000.0,Ben Affleck,Chris Terrio,Ben Affleck,120.0,2010s,323.0,62.0,Warner Brothers
6055,The Twilight Saga: Breaking Dawn - Part 2,PG-13,Adventure,2012,5.5,236000.0,Bill Condon,Melissa Rosenberg,Kristen Stewart,115.0,2010s,1153.0,167.0,Summit Entertainment
6056,Jack Reacher,PG-13,Action,2012,7.0,317000.0,Christopher McQuarrie,Lee Child,Tom Cruise,130.0,2010s,303.0,83.0,Paramount Pictures
6057,Zero Dark Thirty,R,Drama,2012,7.4,280000.0,Kathryn Bigelow,Mark Boal,Jessica Chastain,157.0,2010s,185.0,56.0,Columbia Pictures
6058,Cloud Atlas,R,Action,2012,7.4,349000.0,Tom Tykwer,David Mitchell,Tom Hanks,172.0,2010s,181.0,142.0,Cloud Atlas Productions
6059,Skyfall,PG-13,Action,2012,7.7,642000.0,Sam Mendes,Neal Purvis,Daniel Craig,143.0,2010s,1541.0,278.0,Metro-Goldwyn-Mayer (MGM)
6060,The Perks of Being a Wallflower,PG-13,Drama,2012,7.9,475000.0,Stephen Chbosky,Stephen Chbosky,Logan Lerman,103.0,2010s,46.0,18.0,Summit Entertainment
6061,The Amazing Spider-Man,PG-13,Action,2012,6.9,571000.0,Marc Webb,James Vanderbilt,Andrew Garfield,136.0,2010s,1054.0,320.0,Columbia Pictures
6062,Les Misérables,PG-13,Drama,2012,7.6,315000.0,Tom Hooper,William Nicholson,Hugh Jackman,158.0,2010s,614.0,85.0,Universal Pictures
6063,Silver Linings Playbook,R,Comedy,2012,7.7,675000.0,David O. Russell,David O. Russell,Bradley Cooper,122.0,2010s,329.0,29.0,The Weinstein Company
6064,Snow White and the Huntsman,PG-13,Action,2012,6.1,278000.0,Rupert Sanders,Evan Daugherty,Kristen Stewart,127.0,2010s,551.0,236.0,Roth Films
6065,The Master,R,Drama,2012,7.2,160000.0,Paul Thomas Anderson,Paul Thomas Anderson,Philip Seymour Hoffman,138.0,2010s,39.0,44.0,The Weinstein Company
6066,Looper,R,Action,2012,7.4,545000.0,Rian Johnson,Rian Johnson,Joseph Gordon-Levitt,113.0,2010s,245.0,42.0,TriStar Pictures
6067,Killing Them Softly,R,Crime,2012,6.2,137000.0,Andrew Dominik,Andrew Dominik,Brad Pitt,97.0,2010s,53.0,21.0,Plan B Entertainment
6068,Flight,R,Drama,2012,7.3,334000.0,Robert Zemeckis,John Gatins,Denzel Washington,138.0,2010s,225.0,43.0,Paramount Pictures
6069,21 Jump Street,R,Action,2012,7.2,521000.0,Phil Lord,Michael Bacall,Jonah Hill,109.0,2010s,280.0,58.0,Columbia Pictures
6070,Ted,R,Comedy,2012,6.9,580000.0,Seth MacFarlane,Seth MacFarlane,Mark Wahlberg,106.0,2010s,764.0,70.0,Universal Pictures
6071,Sinister,R,Horror,2012,6.8,229000.0,Scott Derrickson,Scott Derrickson,Ethan Hawke,110.0,2010s,115.0,4.0,Summit Entertainment
6072,This Means War,PG-13,Action,2012,6.3,179000.0,McG,Timothy Dowling,Reese Witherspoon,103.0,2010s,218.0,90.0,Overbrook Entertainment
6073,That's My Boy,R,Comedy,2012,5.5,94000.0,Sean Anders,David Caspe,Adam Sandler,116.0,2010s,80.0,97.0,Columbia Pictures
6074,Lincoln,PG-13,Biography,2012,7.3,250000.0,Steven Spielberg,Tony Kushner,Daniel Day-Lewis,150.0,2010s,383.0,90.0,DreamWorks
6075,Brave,PG,Animation,2012,7.1,383000.0,Mark Andrews,Brenda Chapman,Kelly Macdonald,93.0,2010s,749.0,257.0,Walt Disney
6076,The Place Beyond the Pines,R,Crime,2012,7.3,253000.0,Derek Cianfrance,Derek Cianfrance,Ryan Gosling,140.0,2010s,65.0,21.0,Sidney Kimmel Entertainment
6077,Dredd,R,Action,2012,7.1,260000.0,Pete Travis,John Wagner,Karl Urban,95.0,2010s,57.0,70.0,DNA Films
6078,Dark Shadows,PG-13,Comedy,2012,6.2,252000.0,Tim Burton,Seth Grahame-Smith,Johnny Depp,113.0,2010s,341.0,208.0,Warner Brothers
6079,John Carter,PG-13,Action,2012,6.6,260000.0,Andrew Stanton,Andrew Stanton,Taylor Kitsch,132.0,2010s,395.0,348.0,Walt Disney
6080,Battleship,PG-13,Action,2012,5.8,240000.0,Peter Berg,Jon Hoeber,Alexander Skarsgård,131.0,2010s,421.0,291.0,Universal Pictures
6081,Magic Mike,R,Comedy,2012,6.1,134000.0,Steven Soderbergh,Reid Carolin,Channing Tatum,110.0,2010s,233.0,10.0,Iron Horse Entertainment (II)
6082,Hotel Transylvania,PG,Animation,2012,7.1,232000.0,Genndy Tartakovsky,Peter Baynham,Adam Sandler,91.0,2010s,498.0,118.0,Columbia Pictures
6083,Lawless,R,Crime,2012,7.3,232000.0,John Hillcoat,Nick Cave,Tom Hardy,116.0,2010s,77.0,36.0,The Weinstein Company
6084,Spring Breakers,R,Crime,2012,5.3,138000.0,Harmony Korine,Harmony Korine,Vanessa Hudgens,94.0,2010s,45.0,7.0,Muse Productions
6085,Underworld: Awakening,R,Action,2012,6.3,148000.0,Måns Mårlind,Len Wiseman,Kate Beckinsale,88.0,2010s,223.0,97.0,Screen Gems
6087,Safe House,R,Action,2012,6.7,211000.0,Daniel Espinosa,David Guggenheim,Denzel Washington,115.0,2010s,289.0,118.0,Universal Pictures
6088,Seeking a Friend for the End of the World,R,Adventure,2012,6.7,109000.0,Lorene Scafaria,Lorene Scafaria,Steve Carell,101.0,2010s,16.0,14.0,Focus Features
6090,The Bourne Legacy,PG-13,Action,2012,6.6,290000.0,Tony Gilroy,Tony Gilroy,Jeremy Renner,135.0,2010s,384.0,174.0,Universal Pictures
6091,Abraham Lincoln: Vampire Hunter,R,Action,2012,5.9,151000.0,Timur Bekmambetov,Seth Grahame-Smith,Benjamin Walker,105.0,2010s,162.0,96.0,Abraham Productions
6092,Wreck-It Ralph,PG,Animation,2012,7.7,390000.0,Rich Moore,Rich Moore,John C. Reilly,101.0,2010s,655.0,229.0,Walt Disney
6093,Total Recall,PG-13,Action,2012,6.2,244000.0,Len Wiseman,Kurt Wimmer,Colin Farrell,118.0,2010s,276.0,174.0,Total Recall
6094,Project X,R,Comedy,2012,6.6,193000.0,Nima Nourizadeh,Matt Drake,Thomas Mann,88.0,2010s,143.0,17.0,Green Hat Films
6095,American Reunion,R,Comedy,2012,6.7,206000.0,Jon Hurwitz,Jon Hurwitz,Jason Biggs,113.0,2010s,327.0,70.0,Universal Pictures
6097,Savages,R,Crime,2012,6.5,126000.0,Oliver Stone,Shane Salerno,Aaron Taylor-Johnson,131.0,2010s,115.0,63.0,Ixtlan
6098,Life of Pi,PG,Adventure,2012,7.9,594000.0,Ang Lee,Yann Martel,Suraj Sharma,127.0,2010s,847.0,167.0,Fox 2000 Pictures
6100,Resident Evil: Retribution,R,Action,2012,5.4,136000.0,Paul W.S. Anderson,Paul W.S. Anderson,Milla Jovovich,95.0,2010s,334.0,90.0,Constantin
6101,Men in Black 3,PG-13,Action,2012,6.8,342000.0,Barry Sonnenfeld,Etan Cohen,Will Smith,106.0,2010s,867.0,313.0,Columbia Pictures
6102,Journey 2: The Mysterious Island,PG,Action,2012,5.8,96000.0,Brad Peyton,Brian Gunn,Josh Hutcherson,94.0,2010s,466.0,110.0,New Line Cinema
6103,Seven Psychopaths,R,Comedy,2012,7.2,246000.0,Martin McDonagh,Martin McDonagh,Colin Farrell,110.0,2010s,45.0,21.0,CBS Films
6104,Rock of Ages,PG-13,Comedy,2012,5.9,75000.0,Adam Shankman,Justin Theroux,Julianne Hough,123.0,2010s,83.0,104.0,New Line Cinema
6105,The Dictator,R,Comedy,2012,6.4,286000.0,Larry Charles,Sacha Baron Cohen,Sacha Baron Cohen,83.0,2010s,249.0,90.0,Paramount Pictures
6106,The Watch,R,Comedy,2012,5.7,123000.0,Akiva Schaffer,Jared Stern,Ben Stiller,102.0,2010s,95.0,95.0,Twentieth Century Fox
6107,The Expendables 2,R,Action,2012,6.6,296000.0,Simon West,Richard Wenk,Sylvester Stallone,103.0,2010s,438.0,139.0,Lionsgate
6109,Chronicle,PG-13,Adventure,2012,7.0,243000.0,Josh Trank,Max Landis,Dane DeHaan,84.0,2010s,176.0,17.0,Twentieth Century Fox
6110,Red Dawn,PG-13,Action,2012,5.4,74000.0,Dan Bradley,Carl Ellsworth,Chris Hemsworth,93.0,2010s,71.0,90.0,FilmDistrict
6111,End of Watch,R,Action,2012,7.6,233000.0,David Ayer,David Ayer,Jake Gyllenhaal,109.0,2010s,77.0,10.0,Exclusive Media Group
6112,Wrath of the Titans,PG-13,Action,2012,5.7,184000.0,Jonathan Liebesman,Dan Mazeau,Sam Worthington,99.0,2010s,420.0,208.0,Warner Brothers
6113,Mud,PG-13,Drama,2012,7.4,172000.0,Jeff Nichols,Jeff Nichols,Matthew McConaughey,130.0,2010s,45.0,14.0,Lionsgate
6114,The Lorax,PG,Animation,2012,6.4,102000.0,Chris Renaud,Dr. Seuss,Zac Efron,86.0,2010s,485.0,97.0,Universal Pictures
6115,Man on a Ledge,PG-13,Action,2012,6.6,147000.0,Asger Leth,Pablo F. Fenjves,Sam Worthington,102.0,2010s,66.0,58.0,Summit Entertainment
6116,Diary of a Wimpy Kid: Dog Days,PG,Animation,2012,6.3,23000.0,David Bowers,Maya Forbes,Zachary Gordon,94.0,2010s,107.0,31.0,Fox 2000 Pictures
6117,The Lucky One,PG-13,Drama,2012,6.5,103000.0,Scott Hicks,Will Fetters,Zac Efron,101.0,2010s,138.0,35.0,Warner Brothers
6118,Rise of the Guardians,PG,Animation,2012,7.3,161000.0,Peter Ramsey,David Lindsay-Abaire,Hugh Jackman,97.0,2010s,427.0,202.0,DreamWorks Animation
6123,Madagascar 3: Europe's Most Wanted,PG,Animation,2012,6.8,168000.0,Eric Darnell,Eric Darnell,Ben Stiller,93.0,2010s,1038.0,202.0,DreamWorks Animation
6124,The Five-Year Engagement,R,Comedy,2012,6.2,96000.0,Nicholas Stoller,Jason Segel,Jason Segel,124.0,2010s,75.0,42.0,Universal Pictures
6125,House at the End of the Street,PG-13,Drama,2012,5.6,74000.0,Mark Tonderai,David Loucka,Jennifer Lawrence,101.0,2010s,62.0,14.0,Relativity Media
6126,The Sessions,R,Biography,2012,7.2,42000.0,Ben Lewin,Ben Lewin,John Hawkes,95.0,2010s,15.0,1.0,Fox Searchlight Pictures
6127,The Woman in Black,PG-13,Drama,2012,6.4,177000.0,James Watkins,Susan Hill,Daniel Radcliffe,95.0,2010s,179.0,24.0,CBS Films
6128,The Three Stooges,PG,Comedy,2012,5.1,30000.0,Bobby Farrelly,Mike Cerrone,Sean Hayes,92.0,2010s,76.0,42.0,Twentieth Century Fox
6129,Think Like a Man,PG-13,Comedy,2012,6.5,45000.0,Tim Story,Keith Merryman,Chris Brown,122.0,2010s,134.0,17.0,Screen Gems
6130,The Vow,PG-13,Drama,2012,6.8,187000.0,Michael Sucsy,Abby Kohn,Rachel McAdams,104.0,2010s,273.0,42.0,Screen Gems
6131,Taken 2,PG-13,Action,2012,6.3,294000.0,Olivier Megaton,Luc Besson,Liam Neeson,92.0,2010s,523.0,63.0,EuropaCorp
6134,The Company You Keep,R,Drama,2012,6.4,32000.0,Robert Redford,Lem Dobbs,Robert Redford,125.0,2010s,28.0,3.0,Voltage Pictures
6135,Hit and Run,R,Action,2012,6.1,35000.0,David Palmer,Dax Shepard,Dax Shepard,100.0,2010s,23.0,3.0,Exclusive Media Group
6136,Act of Valor,R,Action,2012,6.5,67000.0,Mike McCoy,Kurt Johnstad,Alex Veadov,110.0,2010s,115.0,17.0,Relativity Media
6137,Passion,R,Adventure,2012,5.3,22000.0,Brian De Palma,Brian De Palma,Rachel McAdams,102.0,2010s,1.0,28.0,SBS Productions
6139,Bullet to the Head,R,Action,2012,5.7,48000.0,Walter Hill,Alessandro Camon,Sylvester Stallone,92.0,2010s,31.0,63.0,IM Global
6143,Ice Age: Continental Drift,PG,Animation,2012,6.5,197000.0,Steve Martino,Michael Berg,Ray Romano,88.0,2010s,1219.0,132.0,Blue Sky Studios
6145,No One Lives,R,Horror,2012,6.0,20000.0,Ryûhei Kitamura,David Cohen,Luke Evans,86.0,2010s,1.0,4.0,Milk & Media
6146,Mirror Mirror,PG,Adventure,2012,5.6,85000.0,Tarsem Singh,Marc Klein,Lily Collins,106.0,2010s,254.0,118.0,Relativity Media
6147,About Cherry,R,Drama,2012,4.8,10000.0,Stephen Elliott,Stephen Elliott,Ashley Hinshaw,98.0,2010s,0.0,3.0,Enderby Entertainment
6148,Hitchcock,PG-13,Biography,2012,6.8,73000.0,Sacha Gervasi,John J. McLaughlin,Anthony Hopkins,98.0,2010s,38.0,22.0,Fox Searchlight Pictures
6150,Step Up Revolution,PG-13,Drama,2012,6.4,55000.0,Scott Speer,Amanda Brody,Kathryn McCormick,99.0,2010s,195.0,46.0,Summit Entertainment
6154,The Possession,PG-13,Horror,2012,5.9,58000.0,Ole Bornedal,Juliet Snowden,Natasha Calis,92.0,2010s,119.0,19.0,Ghost House Pictures
6155,Silent Hill: Revelation,R,Action,2012,5.0,61000.0,M.J. Bassett,M.J. Bassett,Adelaide Clemens,95.0,2010s,77.0,28.0,Davis-Films
6156,Safe,R,Action,2012,6.5,106000.0,Boaz Yakin,Boaz Yakin,Jason Statham,94.0,2010s,58.0,42.0,IM Global
6157,The Brass Teapot,R,Comedy,2012,6.4,15000.0,Ramaa Mosley,Tim Macy,Juno Temple,101.0,2010s,0.0,1.0,Atlantic Pictures (II)
6158,Alex Cross,PG-13,Action,2012,5.2,33000.0,Rob Cohen,Marc Moss,Tyler Perry,101.0,2010s,48.0,49.0,Block / Hanson
6160,What to Expect When You're Expecting,PG-13,Comedy,2012,5.7,71000.0,Kirk Jones,Shauna Cross,Cameron Diaz,110.0,2010s,117.0,56.0,Lionsgate
6161,Trouble with the Curve,PG-13,Drama,2012,6.8,61000.0,Robert Lorenz,Randy Brown,Clint Eastwood,111.0,2010s,68.0,42.0,Warner Brothers
6162,Here Comes the Boom,PG,Action,2012,6.4,87000.0,Frank Coraci,Allan Loeb,Kevin James,105.0,2010s,102.0,58.0,Columbia Pictures
6163,The Collection,R,Horror,2012,6.1,47000.0,Marcus Dunstan,Patrick Melton,Josh Stewart,82.0,2010s,14.0,10.0,LD Entertainment
6167,ParaNorman,PG,Animation,2012,7.0,96000.0,Chris Butler,Chris Butler,Kodi Smit-McPhee,92.0,2010s,149.0,83.0,Focus Features
6168,Contraband,R,Action,2012,6.4,119000.0,Baltasar Kormákur,Aaron Guzikowski,Mark Wahlberg,109.0,2010s,134.0,35.0,Universal Pictures
6170,Arbitrage,R,Drama,2012,6.6,51000.0,Nicholas Jarecki,Nicholas Jarecki,Richard Gere,107.0,2010s,49.0,17.0,Lionsgate
6171,The Man with the Iron Fists,R,Action,2012,5.4,61000.0,RZA,RZA,Russell Crowe,95.0,2010s,29.0,21.0,Arcade Pictures
6173,The Campaign,R,Comedy,2012,6.1,126000.0,Jay Roach,Chris Henchy,Will Ferrell,85.0,2010s,146.0,132.0,Warner Brothers
6174,Frankenweenie,PG,Animation,2012,6.9,101000.0,Tim Burton,Leonard Ripps,Winona Ryder,87.0,2010s,113.0,54.0,Walt Disney
6176,The Guilt Trip,PG-13,Comedy,2012,5.7,36000.0,Anne Fletcher,Dan Fogelman,Barbra Streisand,95.0,2010s,58.0,56.0,Paramount Pictures
6177,Stand Up Guys,R,Comedy,2012,6.5,54000.0,Fisher Stevens,Noah Haidle,Al Pacino,95.0,2010s,7.0,21.0,Lionsgate
6180,The Words,PG-13,Drama,2012,7.0,76000.0,Brian Klugman,Brian Klugman,Bradley Cooper,102.0,2010s,22.0,8.0,Also Known As Pictures
6185,Universal Soldier: Day of Reckoning,R,Action,2012,5.0,20000.0,John Hyams,John Hyams,Jean-Claude Van Damme,114.0,2010s,2.0,14.0,Foresight Unlimited
6186,Promised Land,R,Drama,2012,6.6,37000.0,Gus Van Sant,John Krasinski,Matt Damon,106.0,2010s,15.0,21.0,Focus Features
6188,Red Tails,PG-13,Action,2012,5.9,34000.0,Anthony Hemingway,John Ridley,Cuba Gooding Jr.,125.0,2010s,70.0,81.0,Twentieth Century Fox
6190,The Cold Light of Day,PG-13,Action,2012,4.9,36000.0,Mabrouk El Mechri,Scott Wiper,Henry Cavill,93.0,2010s,23.0,28.0,Summit Entertainment
6191,The Apparition,PG-13,Horror,2012,4.1,19000.0,Todd Lincoln,Todd Lincoln,Ashley Greene,82.0,2010s,16.0,24.0,Warner Brothers
6193,Lockout,PG-13,Action,2012,6.1,96000.0,James Mather,James Mather,Guy Pearce,95.0,2010s,46.0,28.0,EuropaCorp
6194,Chasing Mavericks,PG,Biography,2012,7.1,31000.0,Michael Apted,Kario Salem,Jonny Weston,116.0,2010s,11.0,28.0,Fox 2000 Pictures
6199,Parental Guidance,PG,Comedy,2012,6.0,25000.0,Andy Fickman,Lisa Addario,Billy Crystal,105.0,2010s,166.0,35.0,Twentieth Century Fox
6200,The Raven,R,Crime,2012,6.4,83000.0,James McTeigue,Hannah Shakespeare,John Cusack,110.0,2010s,41.0,36.0,Intrepid Pictures
6203,Kon-Tiki,PG-13,Adventure,2012,7.2,47000.0,Joachim Rønning,Petter Skavlan,Pål Sverre Hagen,118.0,2010s,32.0,23.0,Recorded Picture Company (RPC)
6204,Paranormal Activity 4,R,Horror,2012,4.6,63000.0,Henry Joost,Christopher Landon,Stephen Dunham,88.0,2010s,198.0,7.0,Paramount Pictures
6205,Quartet,PG-13,Comedy,2012,6.8,19000.0,Dustin Hoffman,Ronald Harwood,Maggie Smith,98.0,2010s,83.0,15.0,Headline Pictures
6207,Playing for Keeps,PG-13,Comedy,2012,5.7,29000.0,Gabriele Muccino,Robbie Fox,Gerard Butler,105.0,2010s,43.0,49.0,Eclectic Pictures
6210,The Odd Life of Timothy Green,PG,Comedy,2012,6.6,46000.0,Peter Hedges,Peter Hedges,Jennifer Garner,105.0,2010s,78.0,35.0,Monsterfoot Productions
6211,Premium Rush,PG-13,Action,2012,6.5,111000.0,David Koepp,David Koepp,Joseph Gordon-Levitt,91.0,2010s,43.0,49.0,Columbia Pictures
6213,Disconnect,R,Drama,2012,7.5,74000.0,Henry Alex Rubin,Andrew Stern,Jason Bateman,115.0,2010s,5.0,14.0,LD Entertainment
6215,The Pirates! Band of Misfits,PG,Animation,2012,6.7,46000.0,Peter Lord,Gideon Defoe,Hugh Grant,88.0,2010s,171.0,76.0,Columbia Pictures
6216,Chernobyl Diaries,R,Horror,2012,5.0,65000.0,Bradley Parker,Oren Peli,Jesse McCartney,86.0,2010s,53.0,1.0,Alcon Entertainment
6219,Hope Springs,PG-13,Comedy,2012,6.3,42000.0,David Frankel,Vanessa Taylor,Meryl Streep,100.0,2010s,159.0,42.0,Columbia Pictures
6220,People Like Us,PG-13,Comedy,2012,7.1,42000.0,Alex Kurtzman,Alex Kurtzman,Chris Pine,114.0,2010s,17.0,22.0,DreamWorks
6224,Vamps,PG-13,Comedy,2012,5.2,9700.0,Amy Heckerling,Amy Heckerling,Alicia Silverstone,92.0,2010s,0.0,22.0,Lucky Monkey Pictures
6228,A Thousand Words,PG-13,Comedy,2012,5.9,41000.0,Brian Robbins,Steve Koren,Eddie Murphy,91.0,2010s,31.0,56.0,DreamWorks
6230,Escape from Planet Earth,PG,Animation,2012,5.9,25000.0,Cal Brunker,Bob Barlen,Brendan Fraser,89.0,2010s,104.0,56.0,Blue Yonder Films
6235,Big Miracle,PG,Biography,2012,6.5,19000.0,Ken Kwapis,Jack Amiel,Drew Barrymore,107.0,2010s,34.0,56.0,Universal Pictures
6236,What Maisie Knew,R,Drama,2012,7.4,27000.0,Scott McGehee,Nancy Doyne,Julianne Moore,99.0,2010s,4.0,8.0,Red Crown Productions
6237,The Devil Inside,R,Horror,2012,4.2,35000.0,William Brent Bell,William Brent Bell,Fernanda Andrade,83.0,2010s,141.0,1.0,Insurge Pictures
6239,Fun Size,PG-13,Adventure,2012,5.4,14000.0,Josh Schwartz,Max Werner,Victoria Justice,86.0,2010s,16.0,19.0,Paramount Pictures
6243,The Wolf of Wall Street,R,Biography,2013,8.2,1200000.0,Martin Scorsese,Terence Winter,Leonardo DiCaprio,180.0,2010s,537.0,137.0,Red Granite Pictures
6244,Iron Man 3,PG-13,Action,2013,7.1,779000.0,Shane Black,Drew Pearce,Robert Downey Jr.,130.0,2010s,1664.0,274.0,Marvel Studios
6245,The Conjuring,R,Horror,2013,7.5,464000.0,James Wan,Chad Hayes,Patrick Wilson,112.0,2010s,439.0,27.0,New Line Cinema
6246,Prisoners,R,Crime,2013,8.1,625000.0,Denis Villeneuve,Aaron Guzikowski,Hugh Jackman,153.0,2010s,167.0,63.0,Alcon Entertainment
6247,Thor: The Dark World,PG-13,Action,2013,6.8,618000.0,Alan Taylor,Christopher L. Yost,Chris Hemsworth,112.0,2010s,883.0,233.0,Marvel Studios
6248,The Purge,R,Horror,2013,5.7,209000.0,James DeMonaco,James DeMonaco,Ethan Hawke,85.0,2010s,122.0,4.0,Universal Pictures
6249,Grown Ups 2,PG-13,Comedy,2013,5.4,144000.0,Dennis Dugan,Fred Wolf,Adam Sandler,101.0,2010s,338.0,110.0,Columbia Pictures
6250,Fast & Furious 6,PG-13,Action,2013,7.0,377000.0,Justin Lin,Chris Morgan,Vin Diesel,130.0,2010s,1080.0,219.0,Universal Pictures
6251,Gravity,PG-13,Drama,2013,7.7,784000.0,Alfonso Cuarón,Alfonso Cuarón,Sandra Bullock,91.0,2010s,991.0,137.0,Warner Brothers
