,name,rating,genre,year,score,votes,director,writer,star,runtime,decade,gross,budget,company
3535,Message in a Bottle,PG-13,Drama,1999,6.2,37000.0,Luis Mandoki,Nicholas Sparks,Kevin Costner,126.0,1990s,229.0,154.0,Warner Brothers
3536,Stigmata,R,Horror,1999,6.2,66000.0,Rupert Wainwright,Tom Lazarus,Patricia Arquette,103.0,1990s,173.0,56.0,Metro-Goldwyn-Mayer (MGM)
3537,A Midsummer Night's Dream,PG-13,Comedy,1999,6.4,25000.0,Michael Hoffman,William Shakespeare,Kevin Kline,116.0,1990s,31.0,21.0,Fox Searchlight Pictures
3538,The Other Sister,PG-13,Comedy,1999,6.5,12000.0,Garry Marshall,Alexandra Rose,Juliette Lewis,129.0,1990s,54.0,68.0,Mandeville Films
3539,Analyze This,R,Comedy,1999,6.7,148000.0,Harold Ramis,Kenneth Lonergan,Robert De Niro,103.0,1990s,341.0,154.0,Village Roadshow Pictures
3541,Brokedown Palace,PG-13,Drama,1999,6.5,22000.0,Jonathan Kaplan,Adam Fields,Claire Danes,100.0,1990s,20.0,48.0,Fox 2000 Pictures
3543,Virus,R,Action,1999,5.0,27000.0,John Bruno,Chuck Pfarrer,Jamie Lee Curtis,99.0,1990s,59.0,145.0,Mutual Film Company
3544,Superstar,PG-13,Comedy,1999,5.1,18000.0,Bruce McCulloch,Molly Shannon,Molly Shannon,81.0,1990s,59.0,66.0,Broadway Pictures
3545,The Best Man,R,Comedy,1999,6.8,9700.0,Malcolm D. Lee,Malcolm D. Lee,Taye Diggs,120.0,1990s,67.0,17.0,40 Acres & A Mule Filmworks
3546,Dick,PG-13,Comedy,1999,6.2,19000.0,Andrew Fleming,Andrew Fleming,Kirsten Dunst,94.0,1990s,12.0,25.0,Canal+ Droits Audiovisuels
3548,True Crime,R,Crime,1999,6.6,33000.0,Clint Eastwood,Andrew Klavan,Clint Eastwood,127.0,1990s,32.0,106.0,Warner Brothers
3550,Forces of Nature,PG-13,Comedy,1999,5.4,33000.0,Bronwen Hughes,Marc Lawrence,Sandra Bullock,105.0,1990s,181.0,145.0,DreamWorks
3553,Angela's Ashes,R,Biography,1999,7.3,21000.0,Alan Parker,Frank McCourt,Emily Watson,145.0,1990s,25.0,96.0,David Brown Productions
3554,Universal Soldier: the Return,R,Action,1999,4.2,28000.0,Mic Rodgers,Richard Rothstein,Jean-Claude Van Damme,83.0,1990s,21.0,87.0,TriStar Pictures
3555,Anna and the King,PG-13,Drama,1999,6.7,36000.0,Andy Tennant,Anna Leonowens,Jodie Foster,148.0,1990s,220.0,178.0,Fox 2000 Pictures
3557,The End of the Affair,R,Drama,1999,7.1,22000.0,Neil Jordan,Graham Greene,Ralph Fiennes,102.0,1990s,21.0,44.0,Columbia Pictures
3558,"Mystery, Alaska",R,Comedy,1999,6.7,26000.0,Jay Roach,David E. Kelley,Russell Crowe,119.0,1990s,17.0,54.0,Baldwin/Cohen Productions
3559,Baby Geniuses,PG,Comedy,1999,2.7,26000.0,Bob Clark,Steven Paul,Kathleen Turner,97.0,1990s,70.0,23.0,Crystal Sky Worldwide
3560,My Favorite Martian,PG,Comedy,1999,5.1,13000.0,Donald Petrie,John L. Greene,Christopher Lloyd,94.0,1990s,71.0,125.0,Walt Disney
3562,Anywhere But Here,PG-13,Comedy,1999,6.2,17000.0,Wayne Wang,Mona Simpson,Susan Sarandon,114.0,1990s,46.0,44.0,Fox 2000 Pictures
3564,200 Cigarettes,R,Comedy,1999,6.0,15000.0,Risa Bramon Garcia,Shana Larsen,Ben Affleck,101.0,1990s,13.0,12.0,Dogstar Films
3565,Edtv,PG-13,Comedy,1999,6.1,42000.0,Ron Howard,Émile Gaudreault,Matthew McConaughey,122.0,1990s,68.0,154.0,Imagine Entertainment
3567,Random Hearts,R,Drama,1999,5.2,20000.0,Sydney Pollack,Warren Adler,Harrison Ford,133.0,1990s,144.0,124.0,Columbia Pictures
3568,Mickey Blue Eyes,PG-13,Comedy,1999,5.9,36000.0,Kelly Makin,Adam Scheinman,Hugh Grant,102.0,1990s,105.0,145.0,Castle Rock Entertainment
3570,Fantasia 2000,G,Animation,1999,7.2,36000.0,Directors,Eric Goldberg,James Levine,75.0,1990s,175.0,154.0,Walt Disney
3571,The Rage: Carrie 2,R,Horror,1999,4.7,16000.0,Katt Shea,Stephen King,Emily Bergl,104.0,1990s,34.0,41.0,United Artists
3572,The Astronaut's Wife,R,Drama,1999,5.4,54000.0,Rand Ravich,Rand Ravich,Charlize Theron,109.0,1990s,38.0,145.0,New Line Cinema
3573,Muppets from Space,G,Adventure,1999,6.3,18000.0,Tim Hill,Jerry Juhl,Dave Goelz,87.0,1990s,43.0,46.0,Jim Henson Pictures
3575,Eye of the Beholder,R,Drama,1999,5.0,15000.0,Stephan Elliott,Marc Behm,Ewan McGregor,109.0,1990s,34.0,68.0,Ambridge Film Partnership
3576,The Wood,R,Comedy,1999,7.0,8700.0,Rick Famuyiwa,Rick Famuyiwa,Elayn J. Taylor,106.0,1990s,48.0,12.0,Bona Fide Productions
3577,Flawless,R,Comedy,1999,6.5,18000.0,Joel Schumacher,Joel Schumacher,Robert De Niro,112.0,1990s,9.0,29.0,Tribeca Productions
3578,Love Stinks,R,Comedy,1999,5.8,5000.0,Jeff Franklin,Jeff Franklin,French Stewart,94.0,1990s,6.0,8.0,Baumgarten-Prophet Entertainment
3579,Pushing Tin,R,Comedy,1999,6.0,29000.0,Mike Newell,Darcy Frey,John Cusack,124.0,1990s,16.0,64.0,3 Miles Apart Productions Ltd.
3580,The Adventures of Elmo in Grouchland,G,Adventure,1999,5.8,3100.0,Gary Halvorson,Mitchell Kriegman,Kevin Clash,73.0,1990s,23.0,50.0,Jim Henson Pictures
3581,In Dreams,R,Drama,1999,5.5,13000.0,Neil Jordan,Bari Wood,Annette Bening,100.0,1990s,23.0,58.0,Amblin Entertainment
3583,Instinct,R,Drama,1999,6.6,32000.0,Jon Turteltaub,Gerald Di Pego,Anthony Hopkins,126.0,1990s,66.0,154.0,Spyglass Entertainment
3584,Dudley Do-Right,PG,Comedy,1999,3.9,10000.0,Hugh Wilson,Jay Ward,Brendan Fraser,77.0,1990s,19.0,135.0,Universal Pictures
3585,The Deep End of the Ocean,PG-13,Drama,1999,6.4,13000.0,Ulu Grosbard,Jacquelyn Mitchard,Michelle Pfeiffer,106.0,1990s,54.0,73.0,Columbia Pictures
3586,Outside Providence,R,Comedy,1999,6.4,8600.0,Michael Corrente,Peter Farrelly,Shawn Hatosy,96.0,1990s,14.0,14.0,Miramax
3588,Simply Irresistible,PG-13,Comedy,1999,5.3,13000.0,Mark Tarlov,Judith Roberts,Sarah Michelle Gellar,96.0,1990s,8.0,12.0,New Regency Productions
3589,Godzilla 2000: Millennium,PG,Action,1999,6.1,7900.0,Takao Okawara,Hiroshi Kashiwabara,Takehiro Murata,99.0,1990s,25.0,25.0,Toho Pictures
3590,The Story of Us,R,Comedy,1999,6.0,22000.0,Rob Reiner,Alan Zweibel,Bruce Willis,95.0,1990s,114.0,96.0,Castle Rock Entertainment
3592,Pokémon the Movie 2000,G,Animation,1999,6.1,21000.0,Michael Haigney,Satoshi Tajiri,Veronica Taylor,99.0,1990s,259.0,58.0,4 Kids Entertainment
3593,Sweet and Lowdown,PG-13,Comedy,1999,7.2,33000.0,Woody Allen,Woody Allen,Sean Penn,95.0,1990s,9.0,57.0,Sweetland Films
3594,Bats,PG-13,Horror,1999,3.9,9900.0,Louis Morneau,John Logan,Lou Diamond Phillips,91.0,1990s,20.0,10.0,Destination Films
